chat_text,emotion,text_response
who did you vote for?,neutral,i voted for obama.
he might say i'm okay.,neutral,he might say you have bone cancer.
and it's a corner unit.,admiration,that's great. we won't have neighbors on both sides of us.
then why aren't i having fun?,neutral,because you're thinking too much.
i was hoping you would come.,optimism,i'll definitely try to make it the next time.
i wish i was free that night. i'm kind of mad that i didn't go.,admiration,it was a great game.
"he had cigarettes, but no battery.",neutral,it happens all the time.
but a nice restaurant costs money.,approval,"yes, and you have to make a reservation."
i'll talk to you later.,neutral,see you soon.
"it blows trees over, too.",neutral,a tree fell onto my dad's car.
what's the weather like?,neutral,i don't know. i just woke up.
where do you get these crazy ideas?,neutral,i used to cook in a restaurant!
"so, a little salt and pepper never hurt anything.",disappointment,it hurt her feelings.
how long did it take?,neutral,it took us all day.
so what were you calling me about?,desire,"oh, i just wanted to see if you wanted to hang out tomorrow."
"well, someone brought it into the house.",neutral,look at the bottom of my shoesÂ—they're clean.
no one at work likes him.,neutral,can't you report him to his supervisor?
please?,neutral,you know the rules.
"well, i guess that's it.",approval,"yes, that's all i need for now."
"no, florida just has hurricanes every year from june to october.",neutral,but most of those hurricanes are harmless.
did you write a letter to grandma?,approval,"yes, i did."
one hundred!,neutral,maybe he had a good reason.
thank you.,neutral,when did he die?
then why did the lifeguard dive into the water?,neutral,i think he wanted to cool off.
so does every smoker.,neutral,i've tried to quit so many times.
there are fish at the top and the bottom.,neutral,are there more fish or more people?
which movie is your favorite to watch?,admiration,"i have to say, my favorite movie is superbad."
Were you sorry for not being there for your sibling during a difficult time?,remorse,"Yes, I should have been more supportive. I feel a lot of remorse for not being a better sibling when they needed me."
don't you want me to clean up the mud?,neutral,wait till it dries. it will be easier to vacuum.
some guy rowed across the atlantic ocean.,admiration,good for him.
okay. what will you teach me?,neutral,it's called poker.
that didn't take long.,neutral,you think i should quit playing.
these are called all star chuck taylors.,curiosity,i really like those. how much did they cost?
i don't know. look in the fridge.,neutral,i think i'll make a sandwich.
so maybe he'll go to jail forever?,optimism,i sure hope so.
Were you concerned about the outcome of the exam?,relief,"Yes, but I passed with flying colors. I'm relieved all the studying paid off."
are you going to go and visit her and the baby?,neutral,i think that i might.
what are you eating now?,neutral,i switched from pasta to potatoes.
they need a left-turn arrow.,neutral,only two cars can make a left turn every three or four minutes.
"oh, that's easy.",neutral,"clean the sink, the tub, the counter, and the toilet."
he's a dirty old man.,curiosity,what do you mean?
i like to see actors who are like real people.,neutral,like real people with real problems.
i'm going to the movie theater with my friend. what are you going to do?,confusion,i'm not quite sure yet.
i think it depends on the season and on your cabin.,admiration,"well, of course i want to go when the weather is nice."
"he said he was thinking about it, but he didn't get around to it.",neutral,"he didn't get around to turning himself in, either."
the street isn't wet.,neutral,i have to go shopping today.
they talk about food and the weather.,neutral,do they talk about us?
Do you think you'll ever feel okay again?,grief,"I don't know. Right now, it feels like the pain will never end."
it's the automatic teller machine.,neutral,it gives you money?
what's the matter with that?,admiration,her mom is a great cook.
"let me see. yes, you're right. your orange is pink.",neutral,who ever heard of such a thing?
because you're thinking too much.,neutral,so i should stop thinking?
i wanted to see if you wanted to come.,remorse,"this friday? sorry, i already have plans."
are you serious?,neutral,i haven't heard anything about it.
"i still have my job, thank goodness.",fear,"so do i, but i'm worried."
different thingsÂ—not the same thing all the time.,neutral,"you mean, like a pepperoni pizza instead of a cheese pizza?"
i wish it would cool off one day.,neutral,"that's how i feel, i want winter to come soon."
never park your car under a tree.,neutral,"the wind will get you, or the birds will get you."
what did you do?,neutral,i bought some stock.
who's paying for that?,neutral,i think we are!
did you go to school today?,neutral,"yeah, i went to school today. were you there?"
The book I ordered arrived damaged.,disappointment,That's disappointing. I know you were eager to read it. Maybe we can return it or get a replacement.
why was that?,neutral,i sprinkled salt and pepper on the food before i tasted it.
what's going on?,neutral,"nothing really, you?"
but big earthquakes happen only once in a while.,neutral,once in a while is once too many.
i buy it at the dollar store.,curiosity,how much is it?
i really can't stand going to parties.,confusion,"i understand, i guess."
she told him to drop his girlfriend.,curiosity,what did your father do?
Is there anything specific that triggers your grief?,grief,"Sometimes it's the little things, like finding their favorite book on the shelf or hearing their favorite song on the radio. Other times, it's just the overwhelming sense of absence."
"yes, because you can be too sensitive to odors.",neutral,i'll say. my girlfriend has a nose like a drug dog.
what is there to eat?,neutral,i don't know. look in the fridge.
Did you see the surprise twist coming in the TV show's season finale?,surprise,Not at all! It completely caught me off guard. I never saw it coming.
the one that stole a small plane?,neutral,"yes, he stole a plane in canada and flew into the u.s."
i saw dad wipe his nose on his sleeve yesterday.,neutral,i will talk to your father about that.
I didn't get into the college of my choice.,disappointment,"I'm sorry things didn't go as planned. It's disappointing, but there are other great colleges out there."
How did you feel when you stumbled upon a rare flower species during your hike?,surprise,I was amazed! I never expected to find something so unique and beautiful in the wild.
what about that new game show?,neutral,which one?
are you reading this paper?,caring,"oh, no. help yourself."
don't we have about five sharpeners?,neutral,"yes, but they seem to have legs."
Were you prepared for the unexpected visit from your long-lost friend?,surprise,"Not in the slightest! When they showed up on my doorstep, I was completely taken aback."
he's the only candidate that i trust.,disapproval,but he didn't have a chance. nobody voted for him!
"i don't know. whenever the weather comes on, i switch channels.",neutral,what was the lead story on the news?
are you enjoying it there?,disapproval,it's not bad. there are a lot of people there.
Were you sad about missing out on the family gathering?,sadness,"Yes, I felt really lonely knowing everyone was together without me. It's hard being so far away."
mostly talk radio.,curiosity,what's that?
"i think i know, because this happened before.",curiosity,what happened before?
have you heard something that you're not telling me?,curiosity,what do you mean?
maybe the milk was bad.,disappointment,it didn't smell bad.
"he can, but the people around him can't.",neutral,how can he still be alive?
"yes, and you have to make a reservation.",neutral,that's such a hassle.
i'll make an appointment tomorrow.,neutral,i'll get the yellow pages for an eye doctor.
you're driving too fast.,neutral,i'm in a hurry.
"yes, but i will always pet the friendly dogs.",neutral,what about the unfriendly dogs?
you mean i will smell the food cooking?,neutral,you might even dream about dinner.
it's not too bitter for you?,neutral,"it's a little bitter, but it's okay."
How did you react when you discovered a secret message encoded in an old diary?,surprise,I was astonished! It was such an unexpected discovery. I couldn't believe there was a hidden message waiting to be deciphered.
i think it was about 45 minutes long.,neutral,but it went by fast. it was interesting.
"you'll remember to do it, but you won't have time to do it.",neutral,"okay, i'll take it out front right now."
they go out to the north parking lot.,neutral,what do the teachers do?
sure.,gratitude,thank you.
we haven't been in a month.,neutral,"the last time we went, you almost drowned."
you should unplug the phone.,admiration,that's a good idea.
Did you manage to resolve the issue with your internet provider?,relief,"Yes, after hours on the phone, it's finally fixed. I'm relieved we have internet again!"
How do you feel about the recent betrayal by a close confidant?,sadness,I'm feeling really hurt and saddened by it. It's hard to trust anyone now.
i'm going to dinner with my family.,neutral,"i really wanted you to come, but i understand."
neither have i.,admiration,"so, they do a good job for the money."
that is a lot of friends. do you have a best friend?,admiration,of course. i have lots of best friends.
"they don't work, either.",caring,"well, be glad you're not a pilot."
the speed limit is 65!,neutral,"well, that's between 2:00 and 4:00 a.m."
that's it? that's all i have to do?,neutral,"take me to a nice restaurant, not to mcdonald's."
are you crazy?,neutral,what's the matter?
all you have to do is vote and put a stamp on it.,neutral,how easy is that?
what was wrong with you?,disappointment,my stomach was upset.
my family and i are going to dinner.,optimism,i was hoping you would come.
that was nice of you.,neutral,"she asked me how she could return the favor, so i asked her out."
How was your attempt at DIY home repair?,embarrassment,"A disaster. I ended up breaking more things than I fixed, and when I tried to explain what happened to my partner, I just stumbled over my words. I felt so incompetent."
they said i need a new hard drive.,curiosity,that's too bad. how much is a new one?
turn on the light.,neutral,the light is on.
that saves a lot of money.,neutral,i bought three pounds of potatoes for a dollar.
they work great.,neutral,i don't care. i don't like to put drops in my nose.
at night i went out to eat. the food was delicious.,neutral,people who live in hawaii are lucky.
"tell me about it, dad.",neutral,about 90 of us world war ii veterans got on the plane at 8 a.m.
so did i.,neutral,i didn't even have lunch.
i think stamps used to cost a penny.,neutral,that was a long time ago.
"no, when i call him on his cell phone.",curiosity,what do you mean?
i love my computer.,neutral,computers are so cool.
oh really? she gave me mine earlier today.,neutral,"well, she'll probably just give me my invitation later on today."
"yes, he went through the red light.",neutral,can we call the police?
my favorite movie is superbad.,confusion,"oh, why is that?"
ask the clerk.,neutral,i will.
it seems that it may rain today.,optimism,hopefully it will.
what's the matter?,neutral,i was on a plane.
it sounds like it will be.,optimism,i really hope it doesn't get cold.
i missed the tv news last night. what was on?,neutral,nothing that would pass as news.
"well, i would never buy her cd.",neutral,but you would buy her cd if she was pretty?
i've been really busy.,curiosity,doing what?
i will as soon as i finish this article.,curiosity,what are you reading?
i haven't decided yet.,neutral,more and more people are using macs.
do you have a digital tv?,neutral,of course. but i don't have cable.
